Gene,ModuleA,pA,p.adjA,coefA,AUCA,ModuleH,pH,p.adjH,coefH,AUCH,ARank,HRank,RankSum,,A = anti-TNF
PLOD3,M38,0.5664809,0.762773396,-0.654262438,0.547619048,M38,0.720278067,0.907185214,-0.008257067,0.527008547,4612,5042,9654,,
ECE1,M32,0.093961964,0.292369483,-1.996113985,0.616883117,M32,0.189466282,0.579238552,-0.021662267,0.440854701,9642.5,11,9653.5,,
RSF1,unassigned,0.969446508,0.9871239,0.046648387,0.501082251,unassigned,0.333267496,0.707714373,-0.054368055,0.55008547,1487.5,8165.5,9653,,
ZNF445,unassigned,0.496224128,0.712274987,1.205737786,0.596320346,unassigned,0.94767501,0.985735363,-0.015847176,0.494957265,8313.5,1339,9652.5,,
CNOT8,unassigned,0.786186599,0.895863728,0.208997455,0.544372294,unassigned,0.598638941,0.857248644,-0.013908185,0.528888889,4351.5,5294.5,9646,,
CSTF2,unassigned,0.8471627,0.92844357,0.169872151,0.533549784,unassigned,0.425065597,0.76690766,0.059104797,0.534700855,3526,6119,9645,,
NEDD9,unassigned,0.33823289,0.583404444,0.94374074,0.474025974,unassigned,0.490419019,0.799297051,0.016927025,0.557435897,550,9087.5,9637.5,,
TBC1D8,unassigned,0.288593215,0.533907632,-0.687857342,0.557359307,unassigned,0.97118939,0.992618445,0.002548584,0.521538462,5386.5,4250.5,9637,,
CA8,unassigned,0.251423626,0.496400336,1.38245415,0.551948052,unassigned,0.410551893,0.758628252,-0.072306205,0.524615385,4940.5,4695.5,9636,,
NISCH,unassigned,0.484193315,0.703947211,1.1263653,0.563852814,unassigned,0.793723011,0.932607453,0.006898179,0.517948718,5897,3739,9636,,
RNF38,M8,0.217625152,0.460355967,-1.627423694,0.602813853,M8,0.824940245,0.944710418,-0.015434561,0.488632479,8714,921.5,9635.5,,
FAM234B,unassigned,0.190883615,0.428976766,2.315048652,0.58008658,unassigned,0.896786269,0.969720718,-0.124898243,0.507350427,7160.5,2473,9633.5,,
CD63,unassigned,0.891136758,0.951251446,0.156231607,0.53030303,unassigned,0.328810775,0.703501201,0.001273752,0.536581197,3266.5,6366.5,9633,,
ARL14,M20,0.421875506,0.655837071,0.350084154,0.557900433,M20,0.706743507,0.901184945,0.00593812,0.521196581,5436,4196,9632,,
ELAVL1,unassigned,0.33165528,0.576356855,-1.527144163,0.57034632,unassigned,0.727825644,0.91118162,0.010084646,0.513846154,6392,3238,9630,,
RARRES1,unassigned,0.609048067,0.792235945,0.119289922,0.545454545,unassigned,0.531630393,0.821787471,0.005471904,0.528205128,4429.5,5200.5,9630,,
RBBP8,unassigned,0.782435866,0.89372356,-0.283148231,0.475108225,unassigned,0.318489265,0.693971758,-0.060410755,0.557094017,573,9057,9630,,
SLC5A3,M6,0.883262943,0.946959501,-0.139119459,0.504329004,M6,0.44449542,0.776197231,-0.103765862,0.548547009,1647.5,7982,9629.5,,
PRMT9,M20,0.310748653,0.556565138,-0.982671033,0.566558442,M20,0.650787959,0.877927851,0.112317569,0.516239316,6099.5,3526,9625.5,,
KCNMA1,unassigned,0.884066208,0.947186276,0.156359373,0.515151515,unassigned,0.399133846,0.751802939,-0.048420136,0.544273504,2240,7383.5,9623.5,,
TRAK2,unassigned,0.87658365,0.943205926,-0.10855898,0.523809524,unassigned,0.470431746,0.79077617,0.039677143,0.54,2807.5,6815,9622.5,,
SMYD5,unassigned,0.743250498,0.873083427,0.419824177,0.514069264,unassigned,0.35676837,0.724584677,-0.086973761,0.544786325,2156.5,7464,9620.5,,
TPCN2,unassigned,0.595665676,0.783445557,-1.326248755,0.45995671,unassigned,0.456569637,0.78228143,-0.085288986,0.559145299,306.5,9313.5,9620,,
LNPEP,M6,0.703337101,0.851502397,-0.465806402,0.512987013,M6,0.516395591,0.814561588,-0.046592405,0.544957265,2117,7497.5,9614.5,,
CALCOCO1,M19,0.778848228,0.891844228,0.237424189,0.533549784,M19,0.751026316,0.919838051,-0.008248257,0.534529915,3526,6088,9614,,
SLC25A36,unassigned,0.268069628,0.51407793,0.763661857,0.581168831,unassigned,0.989357951,0.996290598,-0.00040865,0.506153846,7263.5,2347,9610.5,,
PPHLN1,unassigned,0.256285996,0.50157054,-2.180086869,0.557359307,unassigned,0.737093275,0.914216958,-0.01345173,0.521367521,5386.5,4222.5,9609,,
UPF2,unassigned,0.119773736,0.332319827,-1.721379501,0.608225108,unassigned,0.627357018,0.868170114,-0.032736081,0.47982906,9086,517.5,9603.5,,
CREBBP,M33,0.899671754,0.955176309,-0.29200461,0.515151515,M33,0.382253322,0.741857314,-0.032680438,0.544102564,2240,7363,9603,,
IFRD2,unassigned,0.465587624,0.689167215,-0.636429278,0.516233766,unassigned,0.292749535,0.674645705,0.028754615,0.543589744,2307,7295,9602,,
MIR646HG,unassigned,0.478561608,0.699627804,0.866916363,0.532467532,unassigned,0.350934651,0.720343822,0.58577655,0.535042735,3430,6171.5,9601.5,,
SLC7A9,M11,0.753493872,0.878034162,0.027801489,0.532467532,M11,0.955009349,0.987996471,0.026070403,0.535042735,3430,6171.5,9601.5,,
THADA,M6,0.658283192,0.823338021,-1.210959916,0.538961039,M6,0.589573138,0.852802041,0.043733068,0.531623932,3937,5661.5,9598.5,,
ZNF546,unassigned,0.748205141,0.875829326,0.690171544,0.498917749,unassigned,0.17826948,0.565623297,-0.341202408,0.55042735,1383,8210.5,9593.5,,
ANKRD34A,unassigned,0.741486831,0.872287678,0.3449356,0.501623377,unassigned,0.448559379,0.778063738,0.657291272,0.549401709,1511.5,8080,9591.5,,
G6PC3,unassigned,0.717375314,0.85911347,-0.515505944,0.558441558,unassigned,0.405099719,0.75524108,0.031762856,0.520683761,5475,4114.5,9589.5,,
CCDC40,unassigned,0.185202493,0.421920128,2.995265028,0.596320346,unassigned,0.579707311,0.84714082,-0.205329985,0.494188034,8313.5,1274,9587.5,,
SPDL1,unassigned,0.223207704,0.466804145,-0.625385843,0.604978355,unassigned,0.634608311,0.871476027,-0.031469353,0.484786325,8868.5,718.5,9587,,
BAG4,unassigned,0.072870431,0.25419805,-2.587464276,0.608225108,unassigned,0.558518965,0.834307986,0.135528929,0.479316239,9086,499,9585,,
ACADM,M24,0.508982819,0.72238899,0.280339692,0.542207792,M24,0.417419483,0.762204935,0.017537394,0.52974359,4178.5,5405,9583.5,,
TMEM173,M3,0.706339544,0.852976176,-0.115237478,0.510822511,M3,0.456576832,0.78228143,-0.007639804,0.545641026,1996,7587.5,9583.5,,
ZNF746,unassigned,0.851741791,0.930415073,0.35354843,0.542207792,unassigned,0.582896624,0.848401756,0.086961502,0.52974359,4178.5,5405,9583.5,,
STK19,unassigned,0.391407643,0.631690008,-1.805006445,0.54978355,unassigned,0.966275072,0.990505925,0.004138103,0.525299145,4790,4793,9583,,
LDB1,unassigned,0.265863097,0.511833754,-1.704026833,0.584415584,unassigned,0.950177704,0.986718721,0.002316836,0.503589744,7487,2094,9581,,
TUBA1C,M20,0.416934542,0.652274061,-0.78197965,0.523809524,M20,0.275753226,0.661006419,0.003268991,0.53965812,2807.5,6773.5,9581,,
VPS35,M38,0.750084582,0.876333685,0.298129555,0.548701299,M38,0.617400131,0.8646046,0.010607301,0.525982906,4696,4885,9581,,
NFATC4,M2,0.393356457,0.632649605,1.36292324,0.551948052,M2,0.665370863,0.883558718,0.020779741,0.524273504,4940.5,4640,9580.5,,
MMS19,unassigned,0.732361268,0.86804957,-0.445827064,0.516233766,unassigned,0.439526347,0.773612918,0.033903614,0.543418803,2307,7272.5,9579.5,,
SZT2,unassigned,0.582857779,0.774408252,1.20118985,0.545454545,unassigned,0.593645218,0.854719998,-0.04139261,0.527863248,4429.5,5148,9577.5,,
CAMKMT,unassigned,0.605969122,0.789798501,0.927345204,0.531385281,unassigned,0.3677933,0.731935212,0.154028596,0.535470085,3348,6226,9574,,
ZNF253,unassigned,0.06917445,0.246386986,1.988246646,0.612554113,unassigned,0.337022807,0.710862006,0.161000926,0.467692308,9398.5,175.5,9574,,
CUEDC1,M10,0.443267815,0.671967979,0.733976425,0.555194805,M10,0.808109739,0.93733495,-0.016991761,0.522222222,5212.5,4360.5,9573,,
NEMF,unassigned,0.282989796,0.528484083,-0.940756519,0.556277056,unassigned,0.494137195,0.802057455,-0.022400962,0.521709402,5295,4278,9573,,
SPA17,unassigned,0.441297856,0.67066149,0.365403232,0.556277056,unassigned,0.690793344,0.8941071,0.038753436,0.521709402,5295,4278,9573,,
IRF2BP1,unassigned,0.108992961,0.315281048,1.954107305,0.612012987,unassigned,0.290967582,0.673813587,0.135137504,0.470769231,9345.5,225,9570.5,,
HHAT,unassigned,0.793189411,0.89906695,0.23520796,0.55952381,unassigned,0.984826092,0.995692911,0.007898078,0.51991453,5561,4006,9567,,
SENP7,unassigned,0.123693944,0.339122787,-1.742678345,0.597402597,unassigned,0.853791312,0.95536026,-0.014115456,0.492820513,8383,1184,9567,,
BRDT,unassigned,0.402462868,0.640691775,1.52760973,0.564935065,unassigned,0.825634946,0.94494672,-0.315139927,0.516752137,5978.5,3588,9566.5,,
HNRNPM,M37,0.148986288,0.375949782,4.210515095,0.603896104,M37,0.650404426,0.877816036,0.003207944,0.485811966,8793.5,773,9566.5,,
MTERF4,unassigned,0.393039578,0.632591482,-1.302533144,0.541125541,unassigned,0.628077894,0.868354887,-0.021844726,0.53025641,4092.5,5474,9566.5,,
ZNF880,unassigned,0.26395119,0.510039446,0.645088299,0.58982684,unassigned,0.999313741,0.99959546,-0.000120115,0.499316239,7859,1703.5,9562.5,,
ADAM15,unassigned,0.667607508,0.829907808,-0.315553709,0.53030303,unassigned,0.3666146,0.731374072,0.008106217,0.536068376,3266.5,6295.5,9562,,
TPX2,M34,0.685026824,0.840466999,-0.228842902,0.481601732,M34,0.458851969,0.78314905,-0.030079542,0.555042735,767.5,8794.5,9562,,
UBE2I,M38,0.36711385,0.609831215,2.508209382,0.58008658,M38,0.774919668,0.927811741,0.005391007,0.506666667,7160.5,2401,9561.5,,
CRCP,unassigned,0.782635781,0.89372356,0.363824186,0.534632035,unassigned,0.538975703,0.824812235,0.038379326,0.533589744,3606.5,5952,9558.5,,
TERF1,unassigned,0.970842432,0.987978892,-0.049092591,0.548701299,unassigned,0.660064292,0.881402617,-0.032083661,0.525811966,4696,4860.5,9556.5,,
LLGL1,M10,0.663329608,0.827006294,0.540812371,0.523809524,M10,0.561000973,0.835701901,-0.078420857,0.539487179,2807.5,6745,9552.5,,
NKD1,unassigned,0.126559648,0.343637162,2.057135518,0.596320346,unassigned,0.803192669,0.937030018,0.168136606,0.493589744,8313.5,1239,9552.5,,
UCHL3,M19,0.54701494,0.749607771,-0.400226563,0.544372294,M19,0.454668356,0.781347711,0.01699872,0.528205128,4351.5,5200.5,9552,,
MSI1,unassigned,0.381612405,0.622782893,0.969920626,0.45508658,unassigned,0.245312546,0.634582048,0.899386238,0.559145299,235,9313.5,9548.5,,
SLC38A5,unassigned,0.244873224,0.490623228,-0.664499203,0.41991342,unassigned,0.190253088,0.580062655,-0.03093087,0.560512821,34,9512.5,9546.5,,
EDAR,unassigned,0.445386341,0.673349477,0.761597344,0.541125541,unassigned,0.36679114,0.731583631,0.358087289,0.53008547,4092.5,5451.5,9544,,
TMEM201,unassigned,0.669604701,0.830747148,0.660880498,0.535714286,unassigned,0.569271123,0.840989175,0.108800149,0.532991453,3681,5863,9544,,
WWOX,unassigned,0.789649794,0.897661923,0.49746218,0.527056277,unassigned,0.24904753,0.637548492,0.130999184,0.537606838,3043.5,6500.5,9544,,
MOV10,unassigned,0.484824882,0.704462871,0.509443637,0.593073593,unassigned,0.782811983,0.929045594,0.005991787,0.496239316,8097,1445,9542,,
CECR2,unassigned,0.891912741,0.951563149,-0.288921828,0.547619048,unassigned,0.741044423,0.916047733,0.854317806,0.526239316,4612,4928.5,9540.5,,
HSPBAP1,M14,0.142745105,0.366992583,-1.049753111,0.582251082,M14,0.706005906,0.901068808,-0.056180663,0.504786325,7329.5,2211,9540.5,,
PTGR1,M25,0.461786378,0.685877048,0.164864015,0.594155844,M25,0.676714721,0.888028693,0.015590239,0.495555556,8155.5,1384,9539.5,,
ZFAND1,unassigned,0.822749542,0.914737194,-0.20535985,0.516233766,unassigned,0.551740581,0.831338295,0.028286288,0.543076923,2307,7231.5,9538.5,,
TAF9B,unassigned,0.22135856,0.464702068,-1.163214977,0.576839827,unassigned,0.909356575,0.973385394,0.014811271,0.508717949,6918.5,2616.5,9535,,
CBX1,unassigned,0.497779605,0.713530977,-0.443826984,0.54978355,unassigned,0.946939312,0.985374528,-0.002930276,0.524957265,4790,4743.5,9533.5,,
NOMO2,M38,0.618841038,0.797776469,0.470416603,0.550865801,M38,0.815620681,0.940042776,-0.003039711,0.524444444,4864,4669,9533,,
RALA,M20,0.463163683,0.687079276,-0.794040552,0.558441558,M20,0.533722135,0.823097529,0.016535073,0.52017094,5475,4056,9531,,
IWS1,unassigned,0.331472561,0.576102974,1.963447932,0.574675325,unassigned,0.971859649,0.993189058,0.00155744,0.51025641,6745.5,2783.5,9529,,
CCDC8,M10,0.996670157,0.998511141,0.00813929,0.521645022,M10,0.289207838,0.672347779,0.54870784,0.540512821,2637,6890,9527,,
UBE2N,M38,0.445491645,0.673349477,-0.563208292,0.547619048,M38,0.445116947,0.776686102,-0.010708291,0.526153846,4612,4912,9524,,
ZNF284,unassigned,0.538340854,0.743608502,0.788206198,0.533549784,unassigned,0.508088598,0.809450464,0.550872065,0.533846154,3526,5994,9520,,
INTS6-AS1,unassigned,0.533548167,0.740116335,-1.326527411,0.54004329,unassigned,0.557515338,0.833618172,0.11484567,0.530598291,3997,5521,9518,,
KIAA0556,unassigned,0.322611139,0.567664235,1.076430083,0.578463203,unassigned,0.869964573,0.960306215,-0.011169302,0.507350427,7044,2473,9517,,
HNRNPA2B1,unassigned,0.380599954,0.621746082,-0.924958853,0.577922078,unassigned,0.864924701,0.959161382,0.000325514,0.507692308,7003.5,2511.5,9515,,
CENPL,unassigned,0.731305558,0.867408576,-0.289729507,0.482683983,unassigned,0.288797945,0.672031,-0.209447057,0.554529915,780.5,8733,9513.5,,
HACD2,unassigned,0.158290186,0.387931806,1.349080232,0.581168831,unassigned,0.982807367,0.995692911,-0.00069279,0.505641026,7220.5,2293,9513.5,,
RANBP2,unassigned,0.62903637,0.804072577,-0.568051159,0.508658009,unassigned,0.240538815,0.630076898,-0.045116361,0.545982906,1882.5,7630.5,9513,,
SPECC1,unassigned,0.13487166,0.354907983,1.327966335,0.602813853,unassigned,0.564054643,0.837686907,0.011990582,0.486324786,8714,796,9510,,
ST5,unassigned,0.636369315,0.808648647,0.40649555,0.48538961,unassigned,0.455604188,0.781984377,-0.013478602,0.553846154,869.5,8639.5,9509,,
GOSR1,M35,0.2651055,0.511135623,1.779549344,0.601731602,M35,0.49883684,0.804145558,-0.026733005,0.487264957,8657.5,851,9508.5,,
KIAA1841,unassigned,0.60654661,0.790192398,0.805659055,0.536796537,unassigned,0.938374511,0.982760901,-0.006703104,0.532051282,3773.5,5733.5,9507,,
CHIAP2,unassigned,0.989625561,0.995113045,0.026370025,0.504329004,unassigned,0.446021731,0.77691424,-3.460934028,0.547692308,1647.5,7858.5,9506,,
HIST1H4L,unassigned,0.844631768,0.92710676,0.314907855,0.514069264,unassigned,0.266168873,0.652794688,-0.726086422,0.543760684,2187.5,7317,9504.5,,
PHACTR4,unassigned,0.597916372,0.784437952,0.518109224,0.527056277,unassigned,0.472241646,0.791067139,0.032692029,0.537264957,3043.5,6460.5,9504,,
CFLAR-AS1,unassigned,0.892662653,0.95197728,-0.201249574,0.529220779,unassigned,0.090579303,0.440348039,-0.235148695,0.536239316,3187.5,6314.5,9502,,
PORCN,M6,0.254082314,0.49868489,-1.106790705,0.585497835,M6,0.775444143,0.927811741,0.058943652,0.501794872,7558.5,1943,9501.5,,
IL17RB,unassigned,0.119041043,0.331036057,0.928464471,0.613636364,unassigned,0.144638236,0.527393541,0.091596155,0.456923077,9438.5,61,9499.5,,
HPCA,M20,0.153602152,0.381961919,2.074609799,0.435064935,M20,0.198054372,0.588900178,0.350085822,0.55982906,81,9417.5,9498.5,,
ZDHHC20,unassigned,0.671988676,0.832677702,-0.452755203,0.495670996,unassigned,0.222034225,0.613217474,-0.019352125,0.550769231,1251.5,8247,9498.5,,
ACTR5,unassigned,0.529036319,0.736195015,-0.890062555,0.553030303,unassigned,0.372161941,0.734444126,0.250940681,0.523162393,5006,4491.5,9497.5,,
BRF1,unassigned,0.501052784,0.715918635,1.101712581,0.541125541,unassigned,0.418095776,0.762875364,0.081026694,0.52974359,4092.5,5405,9497.5,,
PPWD1,M6,0.554138263,0.753917545,-0.677627687,0.547619048,M6,0.44591536,0.77683486,-0.022099234,0.525982906,4612,4885,9497,,
HOXB6,M20,0.676653108,0.834891122,0.281490703,0.545454545,M20,0.430686747,0.76970017,0.018877445,0.527179487,4429.5,5066,9495.5,,
PTBP1,M20,0.385599045,0.627067019,1.346791918,0.556277056,M20,0.669231752,0.884860444,0.003245917,0.521196581,5295,4196,9491,,
HOXA11,M16,0.781925098,0.893425822,0.211109432,0.501082251,M16,0.648448947,0.877164423,0.086033331,0.548717949,1487.5,8003,9490.5,,
ERICH1,unassigned,0.483643811,0.703526635,-2.131028808,0.523809524,unassigned,0.398101369,0.750780605,-0.035939681,0.539059829,2807.5,6680.5,9488,,
SNRNP40,unassigned,0.458793315,0.684209732,-0.365493079,0.561688312,unassigned,0.421606447,0.764824351,0.035114554,0.518119658,5724.5,3762.5,9487,,
CADM3,M10,0.280964744,0.526231777,1.504715588,0.582251082,M10,0.725116614,0.909715992,0.034394843,0.504188034,7329.5,2156,9485.5,,
HABP4,M10,0.409089714,0.646273703,-1.61250547,0.54978355,M10,0.750829951,0.919823338,-0.07290036,0.524615385,4790,4695.5,9485.5,,
PROX2,unassigned,0.251905141,0.496891894,1.915151779,0.587662338,unassigned,0.867184434,0.959326497,-0.155932617,0.50017094,7696.5,1788.5,9485,,
KRT19,M20,0.88942259,0.950286671,0.103491655,0.494588745,M20,0.266899528,0.65317093,0.000764654,0.551111111,1191,8289.5,9480.5,,
FUNDC2,unassigned,0.797822998,0.90195917,-0.350688329,0.522727273,unassigned,0.261959069,0.64843403,0.043145842,0.539487179,2732.5,6745,9477.5,,
EEPD1,unassigned,0.171177258,0.404879262,2.141158303,0.577922078,unassigned,0.518246766,0.815632852,0.066229538,0.507350427,7003.5,2473,9476.5,,
BET1L,unassigned,0.632260015,0.806489155,-0.710337949,0.535714286,unassigned,0.675597403,0.887309263,-0.013225712,0.532478632,3681,5795,9476,,
EFCAB10,unassigned,0.993875402,0.997156863,-0.01145768,0.484848485,unassigned,0.206961735,0.598039751,-0.892806199,0.553675214,855,8619,9474,,
DHX57,unassigned,0.315222905,0.560431905,1.596397184,0.576839827,unassigned,0.958362396,0.988658235,0.008272149,0.508205128,6918.5,2555,9473.5,,
STX17-AS1,unassigned,0.681402064,0.838111751,0.600850886,0.546536797,unassigned,0.332404582,0.70711502,0.607283899,0.526495726,4505.5,4967,9472.5,,
GPANK1,unassigned,0.908477174,0.959511913,-0.095581442,0.537878788,unassigned,0.727301475,0.910975393,-0.045358105,0.531282051,3855,5617,9472,,
HSD17B12,unassigned,0.15867361,0.388629276,2.620692195,0.586580087,unassigned,0.926099555,0.979478442,0.000909338,0.500854701,7616,1855,9471,,
GALNT1,unassigned,0.232559697,0.477599095,1.515743213,0.593073593,unassigned,0.915309364,0.9758716,0.001768959,0.495384615,8097,1373.5,9470.5,,
GABRG3,unassigned,0.536104592,0.742112728,1.337491548,0.594155844,unassigned,0.911261658,0.974190605,0.376373014,0.494700855,8155.5,1313.5,9469,,
SRRM1,unassigned,0.382332147,0.623753938,-1.547337241,0.584415584,unassigned,0.761206029,0.923388455,-0.006750405,0.502222222,7487,1976,9463,,
FGFRL1,unassigned,0.306948128,0.552495241,1.681423865,0.564935065,unassigned,0.932808678,0.980504726,0.005756392,0.515897436,5978.5,3484,9462.5,,
PRKD2,M6,0.233527813,0.478275908,-1.161346517,0.581168831,M6,0.80821228,0.93733495,0.00753664,0.504615385,7263.5,2197.5,9461,,
HIF1AN,unassigned,0.800993476,0.903771108,0.418932382,0.55952381,unassigned,0.961906108,0.989575765,0.003890087,0.519145299,5561,3899,9460,,
ZNF490,unassigned,0.165280427,0.397872028,1.326587681,0.593073593,unassigned,0.894251551,0.968838879,-0.045469345,0.495213675,8097,1362.5,9459.5,,
TENM3,M14,0.449739816,0.676545291,-1.40187562,0.553030303,M14,0.869883371,0.960305437,-0.119238664,0.522564103,5048.5,4410.5,9459,,
KDM2B,M6,0.184514256,0.421068633,-1.114580852,0.602813853,M6,0.969263023,0.991854048,0.002007805,0.485299145,8714,744.5,9458.5,,
PAFAH1B1,unassigned,0.472684863,0.694651987,0.883369001,0.5995671,unassigned,0.590578064,0.853104907,-0.008573146,0.489059829,8511,947.5,9458.5,,
FAM122B,unassigned,0.412364046,0.649256665,0.806839951,0.557359307,unassigned,0.746015031,0.917562604,-0.019630351,0.52034188,5386.5,4071,9457.5,,
TRIP4,unassigned,0.985141126,0.993633816,0.014646718,0.5,unassigned,0.144181808,0.526964772,0.10058397,0.548888889,1430,8025,9455,,
DOT1L,unassigned,0.467019884,0.689807095,1.180222731,0.541125541,unassigned,0.413803347,0.76051851,-0.042182868,0.529401709,4092.5,5358.5,9451,,
RPP30,unassigned,0.79674934,0.901133987,0.404083083,0.534632035,unassigned,0.425992619,0.767161119,0.045174157,0.532820513,3606.5,5844.5,9451,,
RTN4,M38,0.482160711,0.702531677,0.780519382,0.45995671,M38,0.196927722,0.588331071,0.009302196,0.557948718,306.5,9143,9449.5,,
CLDND2,unassigned,0.79092512,0.898180731,0.360489415,0.54004329,unassigned,0.443200337,0.775609112,-0.226376995,0.53008547,3997,5451.5,9448.5,,
RCOR1,unassigned,0.446475697,0.674149585,-0.833581041,0.547619048,unassigned,0.349730649,0.71978787,-0.042429653,0.525982906,4562.5,4885,9447.5,,
ZNF197,unassigned,0.529697371,0.736431989,1.275738816,0.573593074,unassigned,0.78896212,0.930708268,0.035489614,0.51008547,6682.5,2765,9447.5,,
GNE,M16,0.481147861,0.701713,0.201068138,0.563852814,M16,0.719358961,0.906902379,0.003995226,0.516410256,5897,3547.5,9444.5,,
SEZ6,unassigned,0.229943622,0.474581187,1.466231688,0.446969697,unassigned,0.266422737,0.652974416,1.724847227,0.558974359,147,9295.5,9442.5,,
GOSR2,M11,0.514962721,0.72618331,-0.65968185,0.545454545,M11,0.495008773,0.802371004,-0.018015773,0.526837607,4429.5,5012.5,9442,,
AQR,unassigned,0.485869191,0.705458226,0.915921067,0.558441558,unassigned,0.655746487,0.880459182,0.028478013,0.519316239,5516,3925,9441,,
HBS1L,unassigned,0.585456208,0.776106523,-0.471861451,0.548701299,unassigned,0.475471133,0.792423557,-0.025753557,0.524957265,4696,4743.5,9439.5,,
PRR34,unassigned,0.102246278,0.305805609,1.962241759,0.603896104,unassigned,0.931614295,0.980084869,0.249932343,0.482991453,8793.5,646,9439.5,,
HRC,unassigned,0.217071564,0.459469604,1.702949334,0.57034632,unassigned,0.814764018,0.939606532,-0.20162689,0.512307692,6392,3046,9438,,
LIPC,unassigned,0.356442624,0.599913512,1.135095488,0.591450216,unassigned,0.773186655,0.927279025,0.349073983,0.496239316,7987,1451,9438,,
PPP1R32,unassigned,0.456296677,0.681908829,-1.132237228,0.544372294,unassigned,0.375183405,0.735686514,0.218732339,0.527350427,4351.5,5086.5,9438,,
BAIAP2,unassigned,0.121343691,0.334727274,2.471324609,0.414502165,unassigned,0.141137481,0.523893244,0.129054852,0.55982906,20,9417.5,9437.5,,
CEND1,M20,0.882912118,0.946712435,-0.176412289,0.525974026,M20,0.437381833,0.772944626,-1.00988082,0.537435897,2955,6482,9437,,
RBM4,unassigned,0.775599884,0.890208011,0.312114705,0.525974026,unassigned,0.33968606,0.712252734,0.020884031,0.537435897,2955,6482,9437,,
C6orf52,unassigned,0.659464282,0.82421245,0.57567191,0.531385281,unassigned,0.482298083,0.795079009,0.503964548,0.534529915,3348,6088,9436,,
CCAR2,unassigned,0.242220562,0.487946621,1.569197296,0.583333333,unassigned,0.931197748,0.980084869,-0.001052929,0.502735043,7411,2023.5,9434.5,,
CDH15,unassigned,0.634012081,0.807111813,0.546623918,0.543290043,unassigned,0.208941173,0.60037438,3.571264809,0.528034188,4262,5172.5,9434.5,,
YARS,unassigned,0.23280879,0.477861081,-1.905594687,0.557359307,unassigned,0.901637928,0.971216982,0.002210537,0.52017094,5386.5,4044.5,9431,,
MAPRE1,unassigned,0.128899543,0.346892934,-1.217326815,0.608225108,unassigned,0.819202797,0.942580969,-0.004789366,0.474871795,9086,344.5,9430.5,,
GAS8,unassigned,0.898319781,0.954531781,-0.156994831,0.533549784,unassigned,0.560420187,0.835286443,0.063742406,0.533333333,3526,5904,9430,,
RAB10,unassigned,0.599644623,0.785429346,-0.488232103,0.521645022,unassigned,0.361378494,0.728254672,-0.008064981,0.53982906,2637,6790.5,9427.5,,
SKP1,unassigned,0.175516996,0.410026263,2.159418426,0.612554113,unassigned,0.284773568,0.66801109,0.004967684,0.456239316,9369,57.5,9426.5,,
AMZ2P1,unassigned,0.342463538,0.587865217,-0.689170141,0.553030303,unassigned,0.882674335,0.964850608,0.024410208,0.522649573,5006,4419.5,9425.5,,
SMTN,M8,0.179410301,0.414747887,-1.670585795,0.582251082,M8,0.857443105,0.956963898,0.005393316,0.503589744,7329.5,2094,9423.5,,
C7orf49,M38,0.217860267,0.460579407,2.446859518,0.563852814,M38,0.830198902,0.946221778,-0.002174897,0.516239316,5897,3526,9423,,
EFCAB5,unassigned,0.175201772,0.40971583,2.674097397,0.601731602,unassigned,0.635526839,0.871718632,-0.221112253,0.486324786,8627,796,9423,,
KLK2,unassigned,0.537033158,0.743049188,1.054084564,0.529220779,unassigned,0.61948959,0.865042489,-0.390539816,0.535555556,3187.5,6234.5,9422,,
AFF3,M20,0.994457707,0.997438163,-0.010412125,0.492424242,M20,0.181052163,0.568264674,-0.202392333,0.551282051,1110.5,8310,9420.5,,
PTAR1,unassigned,0.271793941,0.517748202,0.826532474,0.590909091,unassigned,0.990412385,0.996704641,-0.000543498,0.496581197,7943.5,1472.5,9416,,
RORA-AS1,unassigned,0.154852207,0.38318991,4.112688715,0.609307359,unassigned,0.470094435,0.790577688,-0.383228636,0.471794872,9165.5,250.5,9416,,
CINP,unassigned,0.759751914,0.881272411,0.486178509,0.521645022,unassigned,0.277547016,0.662730228,0.069401589,0.539487179,2669,6745,9414,,
EXOC3L4,M11,0.23894628,0.484501069,0.994859027,0.594155844,M11,0.833561979,0.948206147,-0.010507547,0.493333333,8192.5,1221.5,9414,,
GPAT2,M20,0.487152214,0.706343767,-0.347420603,0.574675325,M20,0.642366594,0.875084523,0.084436092,0.509230769,6745.5,2667,9412.5,,
TP73-AS1,M20,0.781093397,0.892994479,0.334618259,0.517316017,M20,0.449096417,0.778141639,-0.112740744,0.541623932,2374,7038,9412,,
CCDC127,unassigned,0.189276868,0.427013175,-1.312515424,0.575757576,unassigned,0.824731009,0.944710418,0.047318416,0.508376068,6837,2574.5,9411.5,,
TECTA,unassigned,0.279674073,0.52512755,1.960185179,0.57034632,unassigned,0.973539518,0.993610519,-0.097801771,0.512136752,6392,3019.5,9411.5,,
DDX31,unassigned,0.215061722,0.457107253,2.077259485,0.591991342,unassigned,0.839885414,0.950096967,0.035656987,0.495555556,8018,1392.5,9410.5,,
SPOP,M33,0.817445516,0.912043107,0.333839421,0.554112554,M33,0.681577186,0.89030191,0.016524385,0.521880342,5116.5,4293.5,9410,,
ARHGAP4,M6,0.82360338,0.914927436,0.197997316,0.50974026,M6,0.389465269,0.745677779,-0.012091316,0.544786325,1941.5,7464,9405.5,,
